Price,Tag,Time
6556.0,XBT/EUR,2018-04-17 19:09:47
6556.0,XBT/EUR,2018-04-17 19:09:57
6556.2,XBT/EUR,2018-04-17 19:10:07
6556.2,XBT/EUR,2018-04-17 19:10:17
6556.2,XBT/EUR,2018-04-17 19:10:28
6556.2,XBT/EUR,2018-04-17 19:10:38
6556.1,XBT/EUR,2018-04-17 19:10:48
6556.2,XBT/EUR,2018-04-17 19:10:58
6554.4,XBT/EUR,2018-04-17 19:12:27
6554.4,XBT/EUR,2018-04-17 19:12:28
6552.6,XBT/EUR,2018-04-17 19:21:37
6552.6,XBT/EUR,2018-04-17 19:21:39
6552.6,XBT/EUR,2018-04-17 19:21:47
6552.6,XBT/EUR,2018-04-17 19:22:18
6552.6,XBT/EUR,2018-04-17 19:22:21
6552.6,XBT/EUR,2018-04-17 19:22:22
6552.6,XBT/EUR,2018-04-17 19:22:31
6552.3,XBT/EUR,2018-04-17 19:24:58
6552.3,XBT/EUR,2018-04-17 19:24:59
6552.3,XBT/EUR,2018-04-17 19:25:04
6548.0,XBT/EUR,2018-04-17 19:25:05
6548.0,XBT/EUR,2018-04-17 19:25:06
6548.0,XBT/EUR,2018-04-17 19:25:08
6551.5,XBT/EUR,2018-04-17 19:26:47
6551.5,XBT/EUR,2018-04-17 19:26:50
6551.5,XBT/EUR,2018-04-17 19:26:51
6549.2,XBT/EUR,2018-04-17 19:27:00
6550.6,XBT/EUR,2018-04-17 19:27:10
6550.6,XBT/EUR,2018-04-17 19:27:20
6550.1,XBT/EUR,2018-04-17 19:28:59
6550.1,XBT/EUR,2018-04-17 19:29:00
6550.1,XBT/EUR,2018-04-17 19:29:08
6550.1,XBT/EUR,2018-04-17 19:29:19
6550.1,XBT/EUR,2018-04-17 19:29:20
6550.1,XBT/EUR,2018-04-17 19:29:29
6550.1,XBT/EUR,2018-04-17 19:29:40
6550.1,XBT/EUR,2018-04-17 19:29:50
6550.1,XBT/EUR,2018-04-17 19:29:59
6550.1,XBT/EUR,2018-04-17 19:30:23
6550.1,XBT/EUR,2018-04-17 19:30:24
6550.1,XBT/EUR,2018-04-17 19:30:33
6550.1,XBT/EUR,2018-04-17 19:32:04
6550.1,XBT/EUR,2018-04-17 19:32:11
6550.1,XBT/EUR,2018-04-17 19:32:12
6550.1,XBT/EUR,2018-04-17 19:32:21
6550.1,XBT/EUR,2018-04-17 19:32:49
6550.1,XBT/EUR,2018-04-17 19:32:51
6550.1,XBT/EUR,2018-04-17 19:32:59
6550.1,XBT/EUR,2018-04-17 19:33:09
6549.9,XBT/EUR,2018-04-17 19:34:00
6549.5,XBT/EUR,2018-04-17 19:34:03
6549.5,XBT/EUR,2018-04-17 19:34:04
6549.5,XBT/EUR,2018-04-17 19:34:13
6549.4,XBT/EUR,2018-04-17 19:34:24
6549.4,XBT/EUR,2018-04-17 19:34:27
6549.4,XBT/EUR,2018-04-17 19:34:28
6549.4,XBT/EUR,2018-04-17 19:34:37
6549.5,XBT/EUR,2018-04-17 19:34:48
6549.4,XBT/EUR,2018-04-17 19:34:56
6549.4,XBT/EUR,2018-04-17 19:34:57
6547.6,XBT/EUR,2018-04-17 19:35:06
6547.7,XBT/EUR,2018-04-17 19:35:15
6531.3,XBT/EUR,2018-04-17 19:35:25
6531.3,XBT/EUR,2018-04-17 19:35:35
6536.5,XBT/EUR,2018-04-17 19:35:45
6538.1,XBT/EUR,2018-04-17 19:36:16
6544.3,XBT/EUR,2018-04-17 19:47:33
6544.3,XBT/EUR,2018-04-17 19:47:34
6544.3,XBT/EUR,2018-04-17 19:47:40
6544.3,XBT/EUR,2018-04-17 19:47:41
6544.3,XBT/EUR,2018-04-17 19:47:50
6551.1,XBT/EUR,2018-04-17 19:49:31
6552.0,XBT/EUR,2018-04-17 19:49:40
6552.0,XBT/EUR,2018-04-17 19:49:43
6552.0,XBT/EUR,2018-04-17 19:49:44
6552.1,XBT/EUR,2018-04-17 19:49:53
6552.1,XBT/EUR,2018-04-17 19:50:02
6552.4,XBT/EUR,2018-04-17 19:52:01
6552.4,XBT/EUR,2018-04-17 19:52:04
6552.2,XBT/EUR,2018-04-17 19:52:11
6552.2,XBT/EUR,2018-04-17 19:53:13
6552.2,XBT/EUR,2018-04-17 19:53:14
6552.2,XBT/EUR,2018-04-17 19:53:22
6552.2,XBT/EUR,2018-04-17 19:53:32
6552.2,XBT/EUR,2018-04-17 19:53:42
6552.2,XBT/EUR,2018-04-17 19:53:52
6552.3,XBT/EUR,2018-04-17 19:55:53
6552.3,XBT/EUR,2018-04-17 19:55:59
6552.3,XBT/EUR,2018-04-17 19:56:00
6552.3,XBT/EUR,2018-04-17 19:56:09
6552.3,XBT/EUR,2018-04-17 19:56:19
6552.3,XBT/EUR,2018-04-17 19:56:29
6552.3,XBT/EUR,2018-04-17 19:56:39
6552.2,XBT/EUR,2018-04-17 19:56:49
6552.3,XBT/EUR,2018-04-17 19:56:59
6552.3,XBT/EUR,2018-04-17 19:57:09
6552.3,XBT/EUR,2018-04-17 19:57:19
6552.2,XBT/EUR,2018-04-17 19:57:29
6552.2,XBT/EUR,2018-04-17 19:58:05
6552.2,XBT/EUR,2018-04-17 19:58:06
6552.2,XBT/EUR,2018-04-17 19:58:14
6552.0,XBT/EUR,2018-04-17 19:58:24
6552.0,XBT/EUR,2018-04-17 19:58:34
6552.0,XBT/EUR,2018-04-17 19:58:44
6542.9,XBT/EUR,2018-04-17 20:06:24
6542.9,XBT/EUR,2018-04-17 20:06:26
6542.9,XBT/EUR,2018-04-17 20:06:34
6542.8,XBT/EUR,2018-04-17 20:06:44
6542.8,XBT/EUR,2018-04-17 20:06:54
6542.9,XBT/EUR,2018-04-17 20:07:04
6542.8,XBT/EUR,2018-04-17 20:07:14
6542.8,XBT/EUR,2018-04-17 20:07:24
6542.8,XBT/EUR,2018-04-17 20:07:34
6542.8,XBT/EUR,2018-04-17 20:07:44
6541.5,XBT/EUR,2018-04-17 20:38:31
6541.5,XBT/EUR,2018-04-17 20:38:33
6541.5,XBT/EUR,2018-04-17 20:38:38
